card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,birth_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,birth_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC Fight Night: Gane vs. Volkov,Justin Jaynes,0.28,182.0,2.0,2.0,Charles Rosa,0.47,92.0,2.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Featherweight,0.0,S-DEC,2021.0,5.33,3.34,170.18,68.0,Orthodox,0.44,0.62,1.1,0.4,0.75,0.2,145,1989,16,8,0,0,3.86,3.08,175.26,69.0,Switch,0.36,0.47,1.0,0.35,1.67,0.38,145,1986,14,8,0,0,32.0,35.0
UFC Fight Night: Gane vs. Volkov,Damir Hadzovic,0.47,219.0,2.0,2.0,Yancy Medeiros,0.51,237.0,3.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,U-DEC,2021.0,3.26,3.36,175.26,70.0,Orthodox,0.48,0.62,0.2,0.55,0.78,0.34,155,1986,14,7,0,0,5.67,4.36,177.8,75.0,Orthodox,0.37,0.47,0.7,0.5,0.33,0.73,155,1987,15,8,0,1,35.0,34.0
UFC Fight Night: Font vs. Garbrandt,Damir Ismagulov,0.47,63.0,1.0,0.0,Rafael Alves,0.44,126.0,3.0,2.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,U-DEC,2021.0,2.56,4.05,177.8,74.0,Orthodox,0.42,0.63,0.0,0.28,1.4,0.9,155,1991,24,1,0,0,4.14,2.46,172.72,68.0,Orthodox,0.5,0.58,1.2,0.25,0.41,0.6,155,1990,20,11,0,0,30.0,31.0
UFC Fight Night: Gane vs. Volkov,Julija Stoliarenko,0.52,91.0,4.0,1.0,Julia Avila,0.42,94.0,3.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Bantamweight,0.0,SUB,2021.0,4.61,2.75,170.18,66.0,Orthodox,0.41,0.44,1.2,0.25,0.7,0.62,135,1993,10,8,2,0,2.86,3.18,170.18,68.0,Orthodox,0.44,0.55,0.3,0.33,0.67,0.61,135,1988,9,2,0,0,28.0,33.0
UFC Fight Night: Hall vs. Strickland,Ashley Yoder,0.47,185.0,1.0,0.0,Jinh Yu Frey,0.38,236.0,8.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Women's Strawweight,0.0,U-DEC,2021.0,3.76,3.08,170.18,69.0,Southpaw,0.39,0.47,0.6,0.3,1.2,0.69,115,1987,8,8,0,0,4.23,3.17,160.02,65.0,Southpaw,0.44,0.52,0.4,0.33,0.61,0.88,115,1985,11,8,0,0,34.0,36.0
UFC Fight Night: Hall vs. Strickland,Phil Rowe,0.49,93.0,0.0,0.0,Orion Cosce,0.42,52.0,6.0,2.0,"Las Vegas, Nevada, USA",3.0,2.0,Welterweight,1.0,KO/TKO,2021.0,4.97,4.39,190.5,80.0,Orthodox,0.52,0.53,0.5,0.37,0.81,0.52,170,1990,10,3,0,0,3.53,2.92,180.34,71.0,Switch,0.53,0.46,0.0,0.4,2.3,0.72,170,1994,8,1,0,0,31.0,27.0
UFC Fight Night: Hall vs. Strickland,Bryan Barberena,0.44,113.0,1.0,0.0,Jason Witt,0.42,83.0,18.0,8.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,0.0,M-DEC,2021.0,4.9,5.92,182.88,72.0,Southpaw,0.48,0.44,0.3,0.25,0.16,0.54,170,1989,18,9,0,0,2.54,2.15,177.8,70.0,Orthodox,0.44,0.52,0.9,0.48,6.9,1.0,170,1986,19,9,0,0,32.0,35.0
UFC Fight Night: Makhachev vs. Moises,Alan Baudot,0.65,91.0,0.0,0.0,Rodrigo Nascimento,0.59,83.0,3.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Heavyweight,0.0,KO/TKO,2021.0,4.82,5.36,190.5,79.0,Orthodox,0.58,0.46,0.0,0.0,0.0,0.62,243,1988,8,4,0,1,5.22,4.05,187.96,80.0,Orthodox,0.51,0.41,1.4,0.41,2.3,1.0,246,1992,9,1,0,1,33.0,29.0
UFC Fight Night: Hall vs. Strickland,Ryan Benoit,0.28,129.0,1.0,0.0,Zarrukh Adashev,0.54,143.0,4.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Flyweight,0.0,U-DEC,2021.0,3.65,2.88,165.1,68.0,Orthodox,0.39,0.58,0.4,0.22,0.28,0.72,125,1989,10,8,0,0,3.04,3.65,165.1,65.0,Southpaw,0.4,0.64,0.5,0.0,0.0,1.0,125,1992,4,4,0,0,32.0,29.0
UFC Fight Night: Hall vs. Strickland,Danny Chavez,0.37,110.0,5.0,1.0,Kai Kamaka,0.62,77.0,3.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Featherweight,1.0,M-DEC,2021.0,3.83,2.86,172.72,67.0,Orthodox,0.38,0.5,0.0,0.6,1.95,0.87,145,1987,11,5,1,0,5.29,4.96,170.18,69.0,Orthodox,0.57,0.55,0.3,0.58,1.93,0.52,145,1995,8,4,1,0,34.0,26.0
