card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC Fight Night: Gane vs. Volkov,Charles Rosa,28%,182,2,2,Justin Jaynes,47%,92,2,2,June 26 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Charles Rosa,S-DEC
UFC Fight Night: Gane vs. Volkov,Damir Hadzovic,47%,219,2,2,Yancy Medeiros,51%,237,3,2,June 26 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Damir Hadzovic,U-DEC
UFC Fight Night: Font vs. Garbrandt,Damir Ismagulov,47%,63,1,0,Rafael Alves,44%,126,3,2,May 22 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Damir Ismagulov,U-DEC
UFC Fight Night: Gane vs. Volkov,Julia Avila,52%,91,4,1,Julija Stoliarenko,42%,94,3,1,June 26 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Julia Avila,SUB
UFC Fight Night: Hall vs. Strickland,Jinh Yu Frey,47%,185,1,0,Ashley Yoder,38%,236,8,0,July 31 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Jinh Yu Frey,U-DEC
UFC Fight Night: Hall vs. Strickland,Phil Rowe,49%,93,0,0,Orion Cosce,42%,52,6,2,July 31 2021,"Las Vegas, Nevada, USA",3,2,Welterweight,Phil Rowe,KO/TKO
UFC Fight Night: Hall vs. Strickland,Jason Witt,44%,113,1,0,Bryan Barberena,42%,83,18,8,July 31 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Jason Witt,M-DEC
UFC Fight Night: Makhachev vs. Moises,Rodrigo Nascimento,65%,91,0,0,Alan Baudot,59%,83,3,0,July 17 2021,"Las Vegas, Nevada, USA",3,2,Heavyweight,Rodrigo Nascimento,KO/TKO
UFC Fight Night: Hall vs. Strickland,Zarrukh Adashev,28%,129,1,0,Ryan Benoit,54%,143,4,0,July 31 2021,"Las Vegas, Nevada, USA",3,3,Flyweight,Zarrukh Adashev,U-DEC
UFC Fight Night: Hall vs. Strickland,Danny Chavez,37%,110,5,1,Kai Kamaka,62%,77,3,0,July 31 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Danny Chavez,M-DEC
UFC Fight Night: Hall vs. Strickland,Chris Gruetzemacher,52%,190,1,0,Rafa Garcia,49%,146,12,5,July 31 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Chris Gruetzemacher,U-DEC
UFC Fight Night: Hall vs. Strickland,Melsik Baghdasaryan,49%,51,1,1,Collin Anglin,58%,75,0,0,July 31 2021,"Las Vegas, Nevada, USA",3,2,Featherweight,Melsik Baghdasaryan,KO/TKO
UFC Fight Night: Brunson vs. Till,Julian Erosa,48%,214,5,2,Charles Jourdain,52%,163,0,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Catch Weight,Julian Erosa,SUB
UFC Fight Night: Hall vs. Strickland,Jared Gooden,53%,13,0,0,Niklas Stolze,60%,23,1,1,July 31 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Jared Gooden,KO/TKO
UFC 265: Lewis vs. Gane,Melissa Gatto,47%,91,3,0,Victoria Leonardo,57%,121,5,1,August 07 2021,"Houston, Texas, USA",3,2,Women's Flyweight,Melissa Gatto,KO/TKO
UFC 265: Lewis vs. Gane,Johnny Munoz,19%,71,3,2,Jamey Simmons,18%,37,0,0,August 07 2021,"Houston, Texas, USA",3,2,Bantamweight,Johnny Munoz,SUB
UFC Fight Night: Brunson vs. Till,Marc-Andre Barriault,39%,217,5,2,Dalcha Lungiambula,40%,289,0,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Marc-Andre Barriault,U-DEC
UFC Fight Night: Brunson vs. Till,Paddy Pimblett,58%,81,2,0,Luigi Vendramini,49%,51,1,1,September 04 2021,"Las Vegas, Nevada, USA",3,1,Lightweight,Paddy Pimblett,KO/TKO
UFC Fight Night: Brunson vs. Till,Jack Shore,59%,155,8,2,Liudvik Sholinian,20%,92,4,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Jack Shore,U-DEC
UFC Fight Night: Brunson vs. Till,Derek Brunson,48%,84,6,3,Darren Till,52%,50,0,0,September 04 2021,"Las Vegas, Nevada, USA",5,3,Middleweight,Derek Brunson,SUB
UFC Fight Night: Brunson vs. Till,Khalil Rountree Jr.,46%,49,0,0,Modestas Bukauskas,41%,92,0,0,September 04 2021,"Las Vegas, Nevada, USA",3,2,Light Heavyweight,Khalil Rountree Jr.,KO/TKO
UFC Fight Night: Brunson vs. Till,Molly McCann,46%,272,3,2,Ji Yeon Kim,33%,361,2,0,September 04 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Molly McCann,U-DEC
UFC Fight Night: Brunson vs. Till,Tom Aspinall,61%,26,0,0,Serghei Spivac,0%,11,2,0,September 04 2021,"Las Vegas, Nevada, USA",3,1,Heavyweight,Tom Aspinall,KO/TKO
UFC Fight Night: Brunson vs. Till,Alex Morono,42%,213,0,0,David Zawada,41%,205,2,1,September 04 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Alex Morono,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Ignacio Bahamondes,32%,168,12,0,Roosevelt Roberts,46%,228,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Ignacio Bahamondes,KO/TKO
UFC Fight Night: Cannonier vs. Gastelum,William Knight,58%,24,0,0,Fabio Cherant,65%,23,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,William Knight,KO/TKO
UFC Fight Night: Cannonier vs. Gastelum,Ramiz Brahimaj,100%,1,0,0,Sasha Palatnikov,50%,2,2,2,August 21 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Ramiz Brahimaj,SUB
UFC Fight Night: Cannonier vs. Gastelum,Alexandre Pantoja,55%,40,6,3,Brandon Royval,27%,61,1,1,August 21 2021,"Las Vegas, Nevada, USA",3,2,Flyweight,Alexandre Pantoja,SUB
UFC Fight Night: Cannonier vs. Gastelum,Brian Kelleher,70%,40,3,3,Domingo Pilarte,27%,11,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Brian Kelleher,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Vinc Pichel,44%,160,4,0,Austin Hubbard,36%,152,7,4,August 21 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Vinc Pichel,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Saidyokub Kakhramonov,38%,31,8,1,Trevin Jones,55%,65,7,2,August 21 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Saidyokub Kakhramonov,SUB
UFC Fight Night: Cannonier vs. Gastelum,Josiane Nunes,42%,82,0,0,Bea Malecki,40%,129,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,1,Women's Bantamweight,Josiane Nunes,KO/TKO
UFC Fight Night: Cannonier vs. Gastelum,Austin Lingo,40%,181,0,0,Luis Saldana,48%,160,5,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Austin Lingo,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Parker Porter,53%,278,8,1,Chase Sherman,46%,249,0,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Heavyweight,Parker Porter,U-DEC
UFC Fight Night: Cannonier vs. Gastelum,Mark Madsen,33%,212,0,0,Clay Guida,51%,192,1,0,August 21 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Mark Madsen,S-DEC
UFC 265: Lewis vs. Gane,Manel Kape,65%,29,0,0,Ode Osbourne,47%,38,0,0,August 07 2021,"Houston, Texas, USA",3,1,Flyweight,Manel Kape,KO/TKO
UFC 265: Lewis vs. Gane,Jessica Penne,66%,12,1,1,Karolina Kowalkiewicz,63%,19,1,1,August 07 2021,"Houston, Texas, USA",3,1,Women's Strawweight,Jessica Penne,SUB
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier,39%,207,0,0,Kelvin Gastelum,36%,246,8,0,August 21 2021,"Las Vegas, Nevada, USA",5,5,Middleweight,Jared Cannonier,U-DEC
UFC 265: Lewis vs. Gane,Miles Johns,67%,118,0,0,Anderson Dos Santos,19%,164,5,0,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Miles Johns,KO/TKO
UFC 265: Lewis vs. Gane,Alonzo Menifield,66%,140,1,1,Ed Herman,32%,126,0,0,August 07 2021,"Houston, Texas, USA",3,3,Light Heavyweight,Alonzo Menifield,U-DEC
UFC 265: Lewis vs. Gane,Song Yadong,45%,257,3,0,Casey Kenney,41%,190,5,1,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Song Yadong,S-DEC
UFC 265: Lewis vs. Gane,Rafael Fiziev,54%,263,2,0,Bobby Green,46%,223,0,0,August 07 2021,"Houston, Texas, USA",3,3,Lightweight,Rafael Fiziev,U-DEC
UFC 265: Lewis vs. Gane,Tecia Torres,48%,298,6,1,Angela Hill,51%,188,7,2,August 07 2021,"Houston, Texas, USA",3,3,Women's Strawweight,Tecia Torres,U-DEC
UFC 265: Lewis vs. Gane,Vince Morales,38%,196,4,1,Drako Rodriguez,36%,151,5,3,August 07 2021,"Houston, Texas, USA",3,3,Bantamweight,Vince Morales,U-DEC
UFC 265: Lewis vs. Gane,Vicente Luque,33%,12,1,1,Michael Chiesa,58%,12,0,0,August 07 2021,"Houston, Texas, USA",3,1,Welterweight,Vicente Luque,SUB
