DoB,SApM,SLpM,height,name,reach,record,stance,strAcc,strDef,subAvg,tdAcc,tdAvg,tdDef,weight
Nov 24 1985,3.72,1.65,"5' 9""",John Gunther,72,5-1-0,Orthodox,37%,46%,0.0,42%,7.08,0%,155
Jul 05 1995,2.80,1.93,"6' 0""",Joe Giannetti,74,6-1-0,Southpaw,38%,40%,0.0,16%,1.00,0%,155
Aug 25 1974,0.92,0.92,"5' 8""",Allen Berube,,4-3-0,Orthodox,80%,33%,3.4,100%,6.87,0%,155
Nov 27 1991,4.49,3.80,"5' 11""",Daichi Abe,71,6-2-0,Orthodox,33%,56%,0.0,50%,0.33,0%,170
Jun 26 1996,6.18,6.43,"5' 7""",Diana Belbita,68,14-7-0,Orthodox,42%,50%,0.0,50%,0.63,68%,115
--,3.14,0.79,"6' 0""",Jason Gilliam,,14-9-0,Orthodox,33%,42%,0.0,0%,0.00,0%,170
Jan 13 1988,4.03,2.07,"5' 10""",Derrick Krantz,72,22-12-0,Orthodox,37%,50%,0.8,50%,3.18,0%,170
Jul 17 1985,4.93,2.07,"5' 7""",Saul Elizondo,,6-8-0,,30%,48%,1.0,100%,2.00,66%,135
Mar 07 1983,5.52,2.28,"5' 11""",Steve Kennedy,,24-8-0,Orthodox,35%,45%,0.0,33%,2.51,0%,170
Oct 10 1987,2.69,2.16,"5' 1""",Carla Esparza,63,20-7-0,Orthodox,40%,55%,0.3,35%,3.22,47%,115
Jun 26 1993,9.80,5.87,"6' 1""",Lance Lawrence,74,4-1-0,Orthodox,50%,24%,0.0,100%,1.00,50%,145
Jan 31 1989,3.88,3.12,"6' 2""",Dhiego Lima,75,17-9-0,Orthodox,39%,58%,0.6,34%,1.26,73%,170
Oct 31 1981,2.47,2.64,"5' 8""",Katsunori Kikuno,66,24-8-2,Orthodox,40%,61%,0.8,75%,1.88,76%,145
--,0.00,0.00,--,Matt Pedro,,3-1-0,,0%,0%,0.0,0%,0.00,0%,--
Nov 30 1970,1.06,0.53,"5' 9""",Jutaro Nakao,,25-19-4,Southpaw,38%,44%,0.0,50%,0.38,56%,170
Aug 17 1976,1.55,0.65,"5' 9""",Carlos Newton,,16-14-0,Orthodox,41%,44%,0.9,70%,2.47,43%,170
Dec 09 1981,5.39,3.33,"5' 11""",Stanislav Nedkov,71,12-2-0 (1 NC),Orthodox,43%,43%,0.0,41%,2.77,0%,205
Aug 05 1987,2.96,1.65,"5' 9""",Dustin Pague,74,12-11-0,Orthodox,53%,41%,2.6,44%,1.03,55%,135
Nov 29 1973,0.00,0.00,"6' 1""",Kazunari Murakami,,5-5-0,Orthodox,0%,0%,0.0,0%,0.00,0%,220
Aug 06 1985,2.97,3.35,"5' 7""",Daniel Pineda,69,27-14-0 (3 NC),Orthodox,48%,45%,1.6,22%,1.42,42%,145
